quam bella,how beautiful
est,is
ōra maritima,the sea-shore
nōn procul,not far
ab ōra maritimā,from the sea-shore
villa,a country-house
in villā,in the country-house
amita mea,my aunt
habitat,dwells, lives
et,and
ego habitō,I dwell, I am staying
cum amitā,with my aunt
nunc,now
ante iānuam,before the door
villae,of the country-house
ārea,an open space
in āreā,in the open space
castanea,a chestnut-tree
ubi,where
luscinia,a nightingale
interdum,sometimes
cantat,sings
sub umbrā,under the shade
castaneae,of the chestnut-tree
ancilla,a maid-servant
cēnam parat,prepares supper
amō ōram,I love the shore
amō villam bellam,I love the pretty country-house

