fēriae;holidays
sunt;are / there are
fēriae nunc sunt;it is now the holidays
inter fērias;during the holidays
in villā maritimā;in the country-house by the sea
ō beātās fēriās;oh, the happy holidays!
in arēnā;on the sand
ōrae maritimae;of the sea coast
ancorae;anchors
et;and
catēnae;chains
nam;for
incolae;the inhabitants
nautae;sailors
magna est;great is / is great
audācia;the courage
nautārum;of sailors
procellās formidānt;they fear storms
nautās amo;I like sailors
ut;as
mē amant;they love me
cum nautīs;with the sailors
in scaphīs;in boats
nāvigō;I sail
